YEAR,MONTH,DATE,SITE,VIS,TRANSECT,SP_CODE,SIZE,actual_size,COUNT,AREA,OBS_CODE,NOTES,ENTERED BY,CHECKED BY
2018,9,9/10/18,Fort Weatherill,1,1,TAAD,0_10,5,20,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,CEST,0_10,5,14,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,TAAD,0_10,5,39,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,CEST,0_10,5,37,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,STCH,0_10,5,30,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAAD,0_10,5,99,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,TAAD,0_10,5,173,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,CEST,0_10,5,6,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,TAAD,10_20,15,42,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,CEST,10_20,15,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,STCH,10_20,15,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,TAAD,10_20,15,98,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,CEST,10_20,15,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,STCH,10_20,15,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAAD,10_20,15,76,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAON,10_20,15,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,TAAD,10_20,15,87,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,STCH,10_20,15,2,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,TAAD,20_30,25,5,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,CEST,20_30,25,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,TAAD,20_30,25,13,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,TAON,20_30,25,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,CEST,20_30,25,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAAD,20_30,25,27,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAON,20_30,25,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,CEST,20_30,25,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,TAON,20_30,25,5,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,CEST,20_30,25,2,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,MOSA,20_30,25,12,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAON,30_40,35,2,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,CEST,30_40,35,2,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,TAON,30_40,35,4,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,CEST,30_40,35,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,TAON,40_50,45,2,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,TAON,40_50,45,1,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/10/18,Fort Weatherill,1,1,STCH,YOY,50,220,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,1.5,2,CEST,YOY,50,17,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,CEST,YOY,50,12,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/7/18,Fort Weatherill,2.5,3,STCH,YOY,50,815,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,TAAD,YOY,50,35,80,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,9/24/18,Fort Weatherill,2,4,CEST,YOY,50,34,80,Austin Humphries,,Lauren Josephs,Austin Humphries
