Year,Month,Date,Site,Transect,SP_CODE,0-20 IN,20-40 IN,40-20 OFF,20-0 OFF
2016,9,9/23/16,Ft.Weatherill,1,ASFO,1,,,
2016,9,9/23/16,Ft.Weatherill,1,HESA,,1,,
2016,9,9/23/16,Ft.Weatherill,1,CASA,,,1,
2016,9,9/23/16,Ft.Weatherill,1,HOAM,,,,1
2016,9,9/23/16,Ft.Weatherill,2,HOAM,1,,,
2016,9,9/23/16,Ft.Weatherill,2,HOAM,,,1,
2016,9,9/24/16,Ft.Weatherill,3,HOAM,2,,,
2016,9,9/24/16,Ft.Weatherill,3,ASFO,,,1,
2016,9,9/24/16,Ft.Weatherill,3,ASFO,,,,1
2016,9,9/24/16,Ft.Weatherill,3,MYSP,,,,1
2016,9,9/24/16,Ft.Weatherill,4,HOAM,1,,,
2016,9,9/24/16,Ft.Weatherill,4,HOAM,,1,,
