YEAR,HABITAT,REGION,SITE,CONTROL,TRANSECT,SUBSTRATE,COVER
2019,Kelp,Narragansett Bay,Fort Wetherill,0,1,B,0.040540541
2019,Kelp,Narragansett Bay,Fort Wetherill,0,1,BM,0.216216216
2019,Kelp,Narragansett Bay,Fort Wetherill,0,1,BS,0.337837838
2019,Kelp,Narragansett Bay,Fort Wetherill,0,1,C,0.297297297
2019,Kelp,Narragansett Bay,Fort Wetherill,0,1,S,0.108108108
2019,Kelp,Narragansett Bay,Fort Wetherill,0,2,B,0.1125
2019,Kelp,Narragansett Bay,Fort Wetherill,0,2,BM,0.25
2019,Kelp,Narragansett Bay,Fort Wetherill,0,2,BS,0.225
2019,Kelp,Narragansett Bay,Fort Wetherill,0,2,C,0.2
2019,Kelp,Narragansett Bay,Fort Wetherill,0,2,S,0.2125
2019,Kelp,Narragansett Bay,Fort Wetherill,0,3,B,0.0125
2019,Kelp,Narragansett Bay,Fort Wetherill,0,3,BL,0.05
2019,Kelp,Narragansett Bay,Fort Wetherill,0,3,BM,0.125
2019,Kelp,Narragansett Bay,Fort Wetherill,0,3,BS,0.45
2019,Kelp,Narragansett Bay,Fort Wetherill,0,3,C,0.1
2019,Kelp,Narragansett Bay,Fort Wetherill,0,3,S,0.2625
2019,Kelp,Narragansett Bay,Fort Wetherill,0,4,L,0.0125
2019,Kelp,Narragansett Bay,Fort Wetherill,0,4,B,0.0375
2019,Kelp,Narragansett Bay,Fort Wetherill,0,4,BM,0.3125
2019,Kelp,Narragansett Bay,Fort Wetherill,0,4,BS,0.225
2019,Kelp,Narragansett Bay,Fort Wetherill,0,4,C,0.225
2019,Kelp,Narragansett Bay,Fort Wetherill,0,4,S,0.1875
2019,Kelp,Narragansett Bay,Fort Wetherill,1,5,B,0.025
2019,Kelp,Narragansett Bay,Fort Wetherill,1,5,BM,0.225
2019,Kelp,Narragansett Bay,Fort Wetherill,1,5,BS,0.2625
2019,Kelp,Narragansett Bay,Fort Wetherill,1,5,C,0.1625
2019,Kelp,Narragansett Bay,Fort Wetherill,1,5,S,0.325
2019,Kelp,Narragansett Bay,Fort Wetherill,1,6,B,0.3125
2019,Kelp,Narragansett Bay,Fort Wetherill,1,6,BM,0.1375
2019,Kelp,Narragansett Bay,Fort Wetherill,1,6,BS,0.1
2019,Kelp,Narragansett Bay,Fort Wetherill,1,6,S,0.45
2019,Kelp,Narragansett Bay,King's Beach,0,1,B,0.0125
2019,Kelp,Narragansett Bay,King's Beach,0,1,BL,0.575
2019,Kelp,Narragansett Bay,King's Beach,0,1,BM,0.0625
2019,Kelp,Narragansett Bay,King's Beach,0,1,BS,0.0375
2019,Kelp,Narragansett Bay,King's Beach,0,1,C,0.0125
2019,Kelp,Narragansett Bay,King's Beach,0,1,S,0.3
