HABITAT,CONTROL,YEAR,MONTH,DAY,DATE,REGION,SITE,TRANSECT,SP_CODE,COUNT,actual_size
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,30,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAAD,NA,NA
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,2,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,NA,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,1,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,1,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,TAON,NA,NA
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,8,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,3,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,CEST,NA,NA
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,2,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 1,STCH,NA,NA
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,22,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAAD,NA,NA
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,1,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,TAON,NA,NA
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,10,5
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,1,15
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,1,25
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,NA,35
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,NA,45
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,NA,60
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,NA,85
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,NA,100
Kelp,Control,2023,7,7,7/7/23,Narragansett Bay,Kings Beach,KB 5,CEST,NA,NA
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,127,5
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,113,15
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,0,25
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,0,35
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,0,45
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,0,60
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,0,85
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,0,100
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,TAAD,240,NA
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,4,5
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,2,15
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,0,25
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,0,35
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,0,45
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,0,60
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,0,85
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,0,100
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 3,CEST,6,NA
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,109,5
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,34,15
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,0,25
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,0,35
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,0,45
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,0,60
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,0,85
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,0,100
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,TAAD,143,NA
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,2,5
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,2,15
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,0,25
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,0,35
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,0,45
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,0,60
Kelp,Kelp,2023,6,26,6/26/23,Narragansett Bay,Fort Wetherill,FW 4,CEST,0,85
